qid,question,intent,difficulty,boundary_case,notes
Q131,HCIA认证对投网络工程师有帮助吗？,技能要求,medium,False,带限定条件；种子原句
Q132,想咨询一下，HCIA认证对投网络工程师有帮助吗？,技能要求,medium,False,带限定条件；变体2
Q133,你好，请问HCIA认证对投网络工程师有帮助吗？,技能要求,medium,False,带限定条件；变体3
Q134,麻烦帮我解答一下：HCIA认证对投网络工程师有帮助吗？,技能要求,medium,False,带限定条件；变体4
Q135,HCIA认证对投网络工程师有帮助吗？在线等，挺急的？,技能要求,medium,False,带限定条件；变体5
Q136,不会Python能做运维工程师吗？,技能要求,medium,False,带限定条件；种子原句
Q137,想咨询一下，不会Python能做运维工程师吗？,技能要求,medium,False,带限定条件；变体2
Q138,你好，请问不会Python能做运维工程师吗？,技能要求,medium,False,带限定条件；变体3
Q139,麻烦帮我解答一下：不会Python能做运维工程师吗？,技能要求,medium,False,带限定条件；变体4
Q140,不会Python能做运维工程师吗？在线等，挺急的？,技能要求,medium,False,带限定条件；变体5
Q141,网络工程师要求熟悉哪些路由协议？,技能要求,medium,False,带限定条件；种子原句
Q142,想咨询一下，网络工程师要求熟悉哪些路由协议？,技能要求,medium,False,带限定条件；变体2
Q143,你好，请问网络工程师要求熟悉哪些路由协议？,技能要求,medium,False,带限定条件；变体3
Q144,麻烦帮我解答一下：网络工程师要求熟悉哪些路由协议？,技能要求,medium,False,带限定条件；变体4
Q145,网络工程师要求熟悉哪些路由协议？在线等，挺急的？,技能要求,medium,False,带限定条件；变体5
Q146,ISTQB证书考下来公司给报销吗？,技能要求,medium,False,带限定条件；种子原句
Q147,想咨询一下，ISTQB证书考下来公司给报销吗？,技能要求,medium,False,带限定条件；变体2
Q148,你好，请问ISTQB证书考下来公司给报销吗？,技能要求,medium,False,带限定条件；变体3
Q149,麻烦帮我解答一下：ISTQB证书考下来公司给报销吗？,技能要求,medium,False,带限定条件；变体4
Q150,ISTQB证书考下来公司给报销吗？在线等，挺急的？,技能要求,medium,False,带限定条件；变体5
Q151,我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，需要提前补哪些技能？,技能要求,hard,False,多条件组合，需综合推理；种子原句
Q152,想咨询一下，我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，要不要提前补哪些技能？,技能要求,hard,False,多条件组合，需综合推理；变体2
Q153,你好，请问我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，需要提前补哪些技能？,技能要求,hard,False,多条件组合，需综合推理；变体3
Q154,麻烦帮我解答一下：我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，需要提前补哪些技能？,技能要求,hard,False,多条件组合，需综合推理；变体4
Q155,我只会华为设备配置没碰过华三，投网络工程师竞争力怎么样，需要提前补哪些技能？在线等，挺急的？,技能要求,hard,False,多条件组合，需综合推理；变体5
Q156,从开发转测试岗需要准备什么，自动化测试经验是必须的吗？,技能要求,hard,False,多条件组合，需综合推理；种子原句
Q157,想咨询一下，从开发转测试岗要不要准备什么，自动化测试经验是必须的吗？,技能要求,hard,False,多条件组合，需综合推理；变体2
Q158,你好，请问从开发转测试岗需要准备什么，自动化测试经验是必须的吗？,技能要求,hard,False,多条件组合，需综合推理；变体3
Q159,麻烦帮我解答一下：从开发转测试岗需要准备什么，自动化测试经验是必须的吗？,技能要求,hard,False,多条件组合，需综合推理；变体4
Q160,从开发转测试岗需要准备什么，自动化测试经验是必须的吗？在线等，挺急的？,技能要求,hard,False,多条件组合，需综合推理；变体5
Q161,HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？,技能要求,hard,False,多条件组合，需综合推理；种子原句
Q162,想咨询一下，HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？,技能要求,hard,False,多条件组合，需综合推理；变体2
Q163,你好，请问HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？,技能要求,hard,False,多条件组合，需综合推理；变体3
Q164,麻烦帮我解答一下：HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？,技能要求,hard,False,多条件组合，需综合推理；变体4
Q165,HCIE认证除了报销考试费还有别的奖励吗，对晋升专业线高级有帮助吗？在线等，挺急的？,技能要求,hard,False,多条件组合，需综合推理；变体5
Q166,我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True,边界样本：一题多意图/指代不明或表述模糊；种子原句
Q167,想咨询一下，我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体2
Q168,你好，请问我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体3
Q169,麻烦帮我解答一下：我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？,岗位推荐,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体4
Q170,我是学网络的应届生，性格内向不太会说话，你们觉得我适合投哪个岗位，网络工程师会不会因为沟通要求被刷？在线等，挺急的？,岗位推荐,hard,True,边界样本：一题多意图/指代不明或表述模糊；变体5
Q171,有三年机房值守经验能投运维工程师吗？,岗位推荐,easy,False,直接问事实；种子原句
Q172,想咨询一下，有三年机房值守经验能投运维工程师吗？,岗位推荐,easy,False,直接问事实；变体2
Q173,你好，请问有三年机房值守经验能投运维工程师吗？,岗位推荐,easy,False,直接问事实；变体3
Q174,麻烦帮我解答一下：有三年机房值守经验能投运维工程师吗？,岗位推荐,easy,False,直接问事实；变体4
Q175,有三年机房值守经验能投运维工程师吗？在线等，挺急的？,岗位推荐,easy,False,直接问事实；变体5
Q176,应届生可以投测试工程师吗？,岗位推荐,easy,False,直接问事实；种子原句
Q177,想咨询一下，应届生可以投测试工程师吗？,岗位推荐,easy,False,直接问事实；变体2
Q178,你好，请问应届生能不能投测试工程师吗？,岗位推荐,easy,False,直接问事实；变体3
Q179,麻烦帮我解答一下：应届生可以投测试工程师吗？,岗位推荐,easy,False,直接问事实；变体4
Q180,应届生可以投测试工程师吗？在线等，挺急的？,岗位推荐,easy,False,直接问事实；变体5
Q181,做过两年Linux运维的想转应用运维方向可以吗？,岗位推荐,easy,False,直接问事实；种子原句
Q182,想咨询一下，做过两年Linux运维的想转应用运维方向可以吗？,岗位推荐,easy,False,直接问事实；变体2
Q183,你好，请问做过两年Linux运维的想转应用运维方向能不能吗？,岗位推荐,easy,False,直接问事实；变体3
Q184,麻烦帮我解答一下：做过两年Linux运维的想转应用运维方向可以吗？,岗位推荐,easy,False,直接问事实；变体4
Q185,做过两年Linux运维的想转应用运维方向可以吗？在线等，挺急的？,岗位推荐,easy,False,直接问事实；变体5
Q186,女生做网络工程师出差多吗，有没有适合少出差的岗位？,岗位推荐,medium,False,带限定条件；种子原句
Q187,想咨询一下，女生做网络工程师出差多吗，有没有适合少出差的岗位？,岗位推荐,medium,False,带限定条件；变体2
Q188,你好，请问女生做网络工程师出差多吗，有没有适合少出差的岗位？,岗位推荐,medium,False,带限定条件；变体3
Q189,麻烦帮我解答一下：女生做网络工程师出差多吗，有没有适合少出差的岗位？,岗位推荐,medium,False,带限定条件；变体4
Q190,女生做网络工程师出差多吗，有没有适合少出差的岗位？在线等，挺急的？,岗位推荐,medium,False,带限定条件；变体5
Q191,刚考完HCIP没工作经验能匹配哪个岗位？,岗位推荐,medium,False,带限定条件；种子原句
Q192,想咨询一下，刚考完HCIP没工作经验能匹配哪个岗位？,岗位推荐,medium,False,带限定条件；变体2
Q193,你好，请问刚考完HCIP没工作经验能匹配哪个岗位？,岗位推荐,medium,False,带限定条件；变体3
Q194,麻烦帮我解答一下：刚考完HCIP没工作经验能匹配哪个岗位？,岗位推荐,medium,False,带限定条件；变体4
Q195,刚考完HCIP没工作经验能匹配哪个岗位？在线等，挺急的？,岗位推荐,medium,False,带限定条件；变体5
Q196,自学了Python和Selenium想找测试相关的工作能投吗？,岗位推荐,medium,False,带限定条件；种子原句
Q197,想咨询一下，自学了Python和Selenium想找测试相关的工作能投吗？,岗位推荐,medium,False,带限定条件；变体2
Q198,你好，请问自学了Python和Selenium想找测试相关的工作能投吗？,岗位推荐,medium,False,带限定条件；变体3
Q199,麻烦帮我解答一下：自学了Python和Selenium想找测试相关的工作能投吗？,岗位推荐,medium,False,带限定条件；变体4
Q200,自学了Python和Selenium想找测试相关的工作能投吗？在线等，挺急的？,岗位推荐,medium,False,带限定条件；变体5
Q201,性格外向喜欢跟客户打交道的适合哪个岗位？,岗位推荐,medium,False,带限定条件；种子原句
Q202,想咨询一下，性格外向喜欢跟客户打交道的适合哪个岗位？,岗位推荐,medium,False,带限定条件；变体2
Q203,你好，请问性格外向喜欢跟客户打交道的适合哪个岗位？,岗位推荐,medium,False,带限定条件；变体3
Q204,麻烦帮我解答一下：性格外向喜欢跟客户打交道的适合哪个岗位？,岗位推荐,medium,False,带限定条件；变体4
Q205,性格外向喜欢跟客户打交道的适合哪个岗位？在线等，挺急的？,岗位推荐,medium,False,带限定条件；变体5
Q206,我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？,岗位推荐,hard,False,多条件组合，需综合推理；种子原句
Q207,想咨询一下，我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？,岗位推荐,hard,False,多条件组合，需综合推理；变体2
Q208,你好，请问我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？,岗位推荐,hard,False,多条件组合，需综合推理；变体3
Q209,麻烦帮我解答一下：我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？,岗位推荐,hard,False,多条件组合，需综合推理；变体4
Q210,我在原公司做了四年网络运维带着CCNP，想找薪资上限更高的岗位，推荐我投哪个方向并且说明理由？在线等，挺急的？,岗位推荐,hard,False,多条件组合，需综合推理；变体5
Q211,农业机械化专业想转行做IT，从运维和测试里选一个，哪个入门门槛低为什么？,岗位推荐,hard,False,多条件组合，需综合推理；种子原句
Q212,想咨询一下，农业机械化专业想转行做IT，从运维和测试里选一个，哪个入门门槛低为什么？,岗位推荐,hard,False,多条件组合，需综合推理；变体2
Q213,你好，请问农业机械化专业想转行做IT，从运维和测试里选一个，哪个入门门槛低为什么？,岗位推荐,hard,False,多条件组合，需综合推理；变体3
Q214,麻烦帮我解答一下：农业机械化专业想转行做IT，从运维和测试里选一个，哪个入门门槛低为什么？,岗位推荐,hard,False,多条件组合，需综合推理；变体4
Q215,农业机械化专业想转行做IT，从运维和测试里选一个，哪个入门门槛低为什么？在线等，挺急的？,岗位推荐,hard,False,多条件组合，需综合推理；变体5
Q216,我同时收到网络工程师和运维工程师两个offer意向，从值班强度和出差频率帮我对比下怎么选？,岗位推荐,hard,False,多条件组合，需综合推理；种子原句
Q217,想咨询一下，我同时收到网络工程师和运维工程师两个offer意向，从值班强度和出差频率帮我对比下怎么选？,岗位推荐,hard,False,多条件组合，需综合推理；变体2
Q218,你好，请问我同时收到网络工程师和运维工程师两个offer意向，从值班强度和出差频率帮我对比下怎么选？,岗位推荐,hard,False,多条件组合，需综合推理；变体3
Q219,麻烦帮我解答一下：我同时收到网络工程师和运维工程师两个offer意向，从值班强度和出差频率帮我对比下怎么选？,岗位推荐,hard,False,多条件组合，需综合推理；变体4
Q220,我同时收到网络工程师和运维工程师两个offer意向，从值班强度和出差频率帮我对比下怎么选？在线等，挺急的？,岗位推荐,hard,False,多条件组合，需综合推理；变体5
