query_id,query,query_type,expected_doc_id,rank_1,rank_2,rank_3,rank_4,rank_5,hit_rank,top1_distance
B037,咨询个事，转正考核总分多少呀？,B,doc_10,doc_10,doc_09,doc_10,doc_10,doc_03,1,0.6949
B038,想问下转正考核中业务目标达成占多少分，谢谢？,B,doc_10,doc_10,doc_10,doc_09,doc_03,doc_19,1,0.6063
B039,你好，综合得分多少分算优秀转正？,B,doc_10,doc_10,doc_10,doc_15,doc_02,doc_10,1,0.6704
B040,想了解下，优秀转正有什么奖励？,B,doc_10,doc_10,doc_09,doc_15,doc_09,doc_01,1,0.7372
B041,问一下哈，年假有多少天？,B,doc_11,doc_13,doc_15,doc_02,doc_06,doc_17,0,0.7868
B042,请问事假单次最多能不能请几天？,B,doc_11,doc_17,doc_16,doc_11,doc_11,doc_17,3,0.717
B043,帮我看看，婚假一共多少天？,B,doc_11,doc_11,doc_17,doc_03,doc_17,doc_04,1,0.7441
B044,麻烦说下旷工一天扣多少工资？,B,doc_11,doc_11,doc_12,doc_06,doc_14,doc_13,1,0.7381
B045,工作日加班咋算？想确认一下？,B,doc_12,doc_12,doc_14,doc_02,doc_12,doc_19,1,0.6524
B046,有人知道周末加班不能调休咋算吗？,B,doc_12,doc_12,doc_12,doc_12,doc_02,doc_07,1,0.638
B047,咨询个事，法定节假日加班按几倍工资支付？,B,doc_12,doc_12,doc_12,doc_07,doc_12,doc_06,1,0.4873
B048,想问下值班补贴标准多少呀，谢谢？,B,doc_12,doc_12,doc_15,doc_20,doc_11,doc_04,1,0.7281
B049,你好，入职报到时间是几点？,B,doc_13,doc_13,doc_07,doc_20,doc_16,doc_04,1,0.7299
B050,想了解下，入职培训时长是多久？,B,doc_13,doc_03,doc_18,doc_03,doc_13,doc_13,4,0.7275
B051,问一下哈，技术岗配备什么笔记本？,B,doc_13,doc_13,doc_20,doc_01,doc_02,doc_01,1,0.7106
B052,请问新星计划有几次跟进面谈？,B,doc_13,doc_13,doc_18,doc_07,doc_09,doc_03,1,0.6532
B053,帮我看看，正式员工离职得提前多少天？,B,doc_14,doc_14,doc_14,doc_18,doc_07,doc_13,1,0.5633
B054,麻烦说下离职交接包括哪几个方面？,B,doc_14,doc_14,doc_05,doc_07,doc_03,doc_14,1,0.7306
B055,竞业限制期最长多久？想确认一下？,B,doc_14,doc_14,doc_03,doc_09,doc_11,doc_06,1,0.7423
B056,有人知道离职证明由谁出具吗？,B,doc_14,doc_14,doc_18,doc_14,doc_13,doc_07,1,0.6988
B057,咨询个事，员工体检标准是每人多少钱？,B,doc_15,doc_07,doc_14,doc_15,doc_07,doc_06,3,0.7335
B058,想问下学习基金每年额度多少呀，谢谢？,B,doc_15,doc_01,doc_15,doc_07,doc_15,doc_08,2,0.7533
B059,你好，租房补贴标准多少呀？,B,doc_15,doc_15,doc_15,doc_02,doc_08,doc_19,1,0.76
B060,想了解下，入职满3年有什么奖励？,B,doc_15,doc_15,doc_13,doc_01,doc_04,doc_09,1,0.6852
B061,问一下哈，申请远程办公要不要入职满多久？,B,doc_16,doc_16,doc_16,doc_04,doc_17,doc_18,1,0.6129
B062,请问常规远程每周能不能几天？,B,doc_16,doc_16,doc_16,doc_02,doc_17,doc_04,1,0.6144
B063,帮我看看，远程当日响应消息的时限多少呀？,B,doc_16,doc_16,doc_16,doc_12,doc_04,doc_20,1,0.7041
B064,麻烦说下哪些项目不能远程办公？,B,doc_16,doc_16,doc_16,doc_08,doc_04,doc_03,1,0.6926
B065,一线城市住宿报销标准多少呀？想确认一下？,B,doc_17,doc_17,doc_18,doc_17,doc_14,doc_19,1,0.6322
B066,有人知道出差餐补每天多少钱吗？,B,doc_17,doc_17,doc_18,doc_15,doc_17,doc_02,1,0.6997
B067,咨询个事，差旅发票要在返程后几天内提交？,B,doc_17,doc_17,doc_17,doc_07,doc_12,doc_11,1,0.669
B068,想问下飞机票需得提前几天预订，谢谢？,B,doc_17,doc_17,doc_04,doc_14,doc_03,doc_09,1,0.6495
B069,你好，三级人才培养体系分别是什么？,B,doc_18,doc_18,doc_15,doc_10,doc_13,doc_07,1,0.7823
B070,想了解下，晋升评审每年开放几次？,B,doc_18,doc_18,doc_05,doc_01,doc_20,doc_04,1,0.6606
B071,问一下哈，晋升申报的绩效条件是什么？,B,doc_18,doc_18,doc_16,doc_04,doc_06,doc_02,1,0.6849
B072,请问HCIE认证奖励多少钱？,B,doc_18,doc_18,doc_05,doc_01,doc_15,doc_12,1,0.7101
B073,帮我看看，绩效考核多久评一次？,B,doc_19,doc_19,doc_06,doc_09,doc_18,doc_06,1,0.7195
B074,麻烦说下行为评价占绩效考核多大比重？,B,doc_19,doc_19,doc_04,doc_09,doc_03,doc_10,1,0.6165
B075,季度A档比例上限多少呀？想确认一下？,B,doc_19,doc_06,doc_14,doc_20,doc_19,doc_19,4,0.7432
B076,有人知道绩效改进计划的时间是多久吗？,B,doc_19,doc_19,doc_18,doc_06,doc_02,doc_07,1,0.6387
B077,咨询个事，办公笔记本使用几年能不能申请更换？,B,doc_20,doc_20,doc_20,doc_11,doc_17,doc_16,1,0.6958
B078,想问下生产环境权限要不要谁审批，谢谢？,B,doc_20,doc_20,doc_16,doc_02,doc_11,doc_18,1,0.7031
B079,你好，密码多少天要更换一次？,B,doc_20,doc_18,doc_20,doc_18,doc_03,doc_13,2,0.7349
B080,想了解下，IT工单的响应时效是多久？,B,doc_20,doc_20,doc_19,doc_03,doc_12,doc_07,1,0.707
C001,星野科技的股票代码是多少？,C,,doc_01,doc_02,doc_01,doc_17,doc_12,0,0.694
C002,公司股价今天涨了吗？,C,,doc_01,doc_16,doc_20,doc_19,doc_14,0,0.7905
C003,长沙今天天气怎么样？,C,,doc_11,doc_11,doc_17,doc_11,doc_13,0,0.8058
C004,附近有什么好吃的湘菜馆推荐？,C,,doc_09,doc_17,doc_19,doc_04,doc_08,0,0.7374
C005,公司老板的私人电话是多少？,C,,doc_01,doc_20,doc_01,doc_20,doc_19,0,0.7462
C006,张三的工资是多少？,C,,doc_07,doc_01,doc_11,doc_02,doc_12,0,0.8093
C007,帮我查一下去北京的高铁票,C,,doc_01,doc_03,doc_19,doc_11,doc_04,0,0.7675
C008,写一首关于秋天的诗,C,,doc_17,doc_04,doc_01,doc_06,doc_13,0,0.7503
C009,Python怎么实现快速排序？,C,,doc_01,doc_12,doc_17,doc_20,doc_13,0,0.7877
C010,TCP三次握手的过程讲一下,C,,doc_01,doc_04,doc_03,doc_09,doc_18,0,0.7309
C011,React和Vue哪个更好？,C,,doc_16,doc_20,doc_04,doc_04,doc_14,0,0.8306
C012,帮我写一份辞职信,C,,doc_13,doc_08,doc_04,doc_15,doc_17,0,0.8012
C013,世界杯冠军是哪个队？,C,,doc_02,doc_07,doc_07,doc_15,doc_02,0,0.794
C014,苹果公司CEO是谁？,C,,doc_01,doc_18,doc_01,doc_12,doc_11,0,0.7922
C015,比特币现在多少钱一枚？,C,,doc_01,doc_07,doc_12,doc_06,doc_02,0,0.7892
C016,怎么办理护照？,C,,doc_11,doc_16,doc_13,doc_19,doc_16,0,0.8226
C017,公司的竞争对手有哪些？,C,,doc_01,doc_14,doc_18,doc_01,doc_07,0,0.7494
C018,CEO的开会日程表长什么样？,C,,doc_16,doc_16,doc_01,doc_17,doc_01,0,0.7404
C019,帮我预订会议室，下周三下午,C,,doc_01,doc_03,doc_16,doc_09,doc_15,0,0.8139
C020,公司的纳税额是多少？,C,,doc_01,doc_07,doc_18,doc_01,doc_18,0,0.7494
C021,竞争对手A公司的薪资水平？,C,,doc_07,doc_03,doc_06,doc_09,doc_06,0,0.7237
C022,怎么注册一家新公司？,C,,doc_18,doc_16,doc_01,doc_19,doc_17,0,0.7622
C023,个人公积金在别的城市怎么转移？,C,,doc_07,doc_08,doc_08,doc_01,doc_14,0,0.7217
C024,股票开户流程是什么？,C,,doc_13,doc_13,doc_02,doc_14,doc_17,0,0.7508
C025,公司楼下停车场对外开放吗？,C,,doc_14,doc_01,doc_01,doc_16,doc_06,0,0.787
C026,隔壁园区有什么楼盘？,C,,doc_13,doc_01,doc_01,doc_16,doc_03,0,0.7969
C027,2026年春节是几号？,C,,doc_12,doc_06,doc_15,doc_02,doc_02,0,0.7432
C028,怎么减脂最快？,C,,doc_16,doc_13,doc_03,doc_15,doc_17,0,0.8329
C029,帮我翻译一段英文合同,C,,doc_19,doc_20,doc_15,doc_17,doc_09,0,0.7802
C030,GPT-5什么时候发布？,C,,doc_03,doc_11,doc_20,doc_17,doc_01,0,0.7913
C031,长沙房价走势如何？,C,,doc_12,doc_15,doc_13,doc_12,doc_12,0,0.7986
C032,公司服务器root密码是什么？,C,,doc_01,doc_20,doc_16,doc_01,doc_19,0,0.7349
C033,帮我算一下房贷月供,C,,doc_13,doc_15,doc_17,doc_01,doc_03,0,0.7897
C034,企业所得税税率是多少？,C,,doc_07,doc_01,doc_01,doc_20,doc_18,0,0.769
C035,怎么申请商标注册？,C,,doc_16,doc_12,doc_17,doc_04,doc_19,0,0.7921
C036,附近的健身房年卡多少钱？,C,,doc_15,doc_01,doc_07,doc_12,doc_11,0,0.7435
C037,公司内的暗恋情况统计一下,C,,doc_14,doc_01,doc_06,doc_07,doc_03,0,0.7504
C038,帮我看下今天的汇率,C,,doc_11,doc_11,doc_16,doc_08,doc_04,0,0.7976
C039,元宇宙是什么？,C,,doc_01,doc_15,doc_04,doc_11,doc_02,0,0.84
C040,量子计算机原理讲一下,C,,doc_18,doc_04,doc_03,doc_01,doc_05,0,0.8051
